Date,Day_of_Week,Arrival_Time,Service_Type,Branch,Queue_Size,Total_OPD_Time_Mins
19/9/2025,Friday,16:00 - 17:00,Dermatology,Branch 2,1,70
29/8/2025,Friday,09:00 - 10:00,Dermatology,Branch 1,6,141
28/1/2026,Wednesday,10:00 - 11:00,Cardiology,Branch 3,8,210
27/11/2025,Thursday,09:00 - 10:00,Minor Procedures,Branch 3,0,144
10/4/2026,Friday,13:00 - 14:00,Cardiology,Branch 2,2,85
26/2/2026,Thursday,11:00 - 12:00,Orthopedics,Branch 2,4,89
30/4/2025,Wednesday,11:00 - 12:00,Pediatrics,Branch 1,8,183
8/4/2026,Wednesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,11,222
12/4/2026,Sunday,08:00 - 09:00,Lab Services,Branch 2,0,32
4/11/2025,Tuesday,11:00 - 12:00,General Consultation,Branch 2,8,144
11/12/2025,Thursday,09:00 - 10:00,General Consultation,Branch 2,1,68
4/5/2025,Sunday,10:00 - 11:00,Pediatrics,Branch 2,8,128
5/4/2026,Sunday,14:00 - 15:00,Cardiology,Branch 1,7,159
28/3/2026,Saturday,14:00 - 15:00,Cardiology,Branch 1,15,243
20/8/2025,Wednesday,13:00 - 14:00,Dermatology,Branch 1,12,211
15/1/2026,Thursday,10:00 - 11:00,Orthopedics,Branch 2,8,126
14/10/2025,Tuesday,08:00 - 09:00,General Consultation,Branch 1,9,193
28/9/2025,Sunday,09:00 - 10:00,Dermatology,Branch 1,15,243
10/4/2026,Friday,16:00 - 17:00,Orthopedics,Branch 2,14,202
18/2/2026,Wednesday,15:00 - 16:00,Orthopedics,Branch 1,8,160
8/5/2025,Thursday,08:00 - 09:00,Minor Procedures,Branch 3,0,141
22/4/2026,Wednesday,16:00 - 17:00,Lab Services,Branch 3,15,267
15/11/2025,Saturday,14:00 - 15:00,Minor Procedures,Branch 2,7,161
15/4/2026,Wednesday,09:00 - 10:00,General Consultation,Branch 2,13,198
25/5/2025,Sunday,08:00 - 09:00,Pediatrics,Branch 3,5,166
24/9/2025,Wednesday,09:00 - 10:00,Minor Procedures,Branch 1,11,229
2/11/2025,Sunday,11:00 - 12:00,General Consultation,Branch 2,2,75
30/6/2025,Monday,16:00 - 17:00,Cardiology,Branch 3,11,232
21/9/2025,Sunday,08:00 - 09:00,Orthopedics,Branch 1,11,213
9/8/2025,Saturday,10:00 - 11:00,Pediatrics,Branch 2,10,152
29/4/2025,Tuesday,11:00 - 12:00,Lab Services,Branch 2,5,96
4/1/2026,Sunday,11:00 - 12:00,Minor Procedures,Branch 1,11,224
29/3/2026,Sunday,15:00 - 16:00,Minor Procedures,Branch 3,3,170
4/12/2025,Thursday,08:00 - 09:00,Pediatrics,Branch 2,1,70
17/1/2026,Saturday,08:00 - 09:00,Cardiology,Branch 2,3,90
12/5/2025,Monday,08:00 - 09:00,Orthopedics,Branch 2,10,175
1/11/2025,Saturday,16:00 - 17:00,Obstetrics & Gynecology,Branch 1,1,114
13/3/2026,Friday,08:00 - 09:00,General Consultation,Branch 3,11,218
24/9/2025,Wednesday,15:00 - 16:00,Cardiology,Branch 1,12,221
23/5/2025,Friday,11:00 - 12:00,Cardiology,Branch 2,8,141
20/9/2025,Saturday,10:00 - 11:00,Pediatrics,Branch 3,3,146
30/8/2025,Saturday,14:00 - 15:00,Orthopedics,Branch 1,11,210
2/6/2025,Monday,13:00 - 14:00,Minor Procedures,Branch 1,7,183
30/10/2025,Thursday,16:00 - 17:00,General Consultation,Branch 2,6,120
27/4/2025,Sunday,09:00 - 10:00,Dermatology,Branch 2,10,157
1/8/2025,Friday,14:00 - 15:00,Minor Procedures,Branch 3,11,255
22/6/2025,Sunday,10:00 - 11:00,Minor Procedures,Branch 2,13,205
1/8/2025,Friday,14:00 - 15:00,Dermatology,Branch 2,14,212
28/1/2026,Wednesday,14:00 - 15:00,Dermatology,Branch 2,4,105
24/3/2026,Tuesday,15:00 - 16:00,Minor Procedures,Branch 2,7,141
22/10/2025,Wednesday,15:00 - 16:00,Dermatology,Branch 2,6,110
15/12/2025,Monday,15:00 - 16:00,Cardiology,Branch 1,12,199
26/4/2025,Saturday,16:00 - 17:00,Obstetrics & Gynecology,Branch 1,2,101
21/5/2025,Wednesday,16:00 - 17:00,General Consultation,Branch 3,6,186
18/10/2025,Saturday,10:00 - 11:00,Minor Procedures,Branch 1,11,232
26/7/2025,Saturday,08:00 - 09:00,Pediatrics,Branch 1,3,119
1/10/2025,Wednesday,10:00 - 11:00,Pediatrics,Branch 2,9,148
15/7/2025,Tuesday,09:00 - 10:00,Lab Services,Branch 3,0,96
23/1/2026,Friday,13:00 - 14:00,Obstetrics & Gynecology,Branch 1,2,98
29/10/2025,Wednesday,08:00 - 09:00,Obstetrics & Gynecology,Branch 1,15,247
14/2/2026,Saturday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,1,76
4/11/2025,Tuesday,10:00 - 11:00,Lab Services,Branch 1,5,119
3/10/2025,Friday,11:00 - 12:00,Dermatology,Branch 1,5,152
4/6/2025,Wednesday,09:00 - 10:00,Cardiology,Branch 2,13,202
4/9/2025,Thursday,16:00 - 17:00,Lab Services,Branch 3,9,207
22/9/2025,Monday,09:00 - 10:00,Minor Procedures,Branch 1,12,238
29/3/2026,Sunday,10:00 - 11:00,Orthopedics,Branch 3,5,178
29/8/2025,Friday,08:00 - 09:00,General Consultation,Branch 2,4,90
21/6/2025,Saturday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,9,171
24/8/2025,Sunday,16:00 - 17:00,Minor Procedures,Branch 3,8,226
16/8/2025,Saturday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,9,160
28/12/2025,Sunday,13:00 - 14:00,Orthopedics,Branch 2,11,175
2/12/2025,Tuesday,14:00 - 15:00,Minor Procedures,Branch 1,11,224
8/9/2025,Monday,16:00 - 17:00,Lab Services,Branch 1,13,200
5/2/2026,Thursday,15:00 - 16:00,Lab Services,Branch 1,0,70
9/10/2025,Thursday,11:00 - 12:00,Minor Procedures,Branch 3,8,212
13/7/2025,Sunday,16:00 - 17:00,General Consultation,Branch 2,10,160
11/10/2025,Saturday,13:00 - 14:00,General Consultation,Branch 2,3,96
29/9/2025,Monday,09:00 - 10:00,Orthopedics,Branch 1,5,127
4/3/2026,Wednesday,11:00 - 12:00,Orthopedics,Branch 3,5,164
28/3/2026,Saturday,13:00 - 14:00,Lab Services,Branch 2,3,69
7/4/2026,Tuesday,14:00 - 15:00,Orthopedics,Branch 3,11,236
24/7/2025,Thursday,13:00 - 14:00,General Consultation,Branch 1,1,87
16/3/2026,Monday,09:00 - 10:00,Minor Procedures,Branch 2,10,187
4/7/2025,Friday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,12,190
1/7/2025,Tuesday,13:00 - 14:00,Obstetrics & Gynecology,Branch 1,0,84
12/9/2025,Friday,15:00 - 16:00,General Consultation,Branch 3,6,194
9/3/2026,Monday,14:00 - 15:00,Lab Services,Branch 2,0,43
26/6/2025,Thursday,15:00 - 16:00,Lab Services,Branch 3,14,241
12/11/2025,Wednesday,08:00 - 09:00,General Consultation,Branch 3,11,218
4/12/2025,Thursday,16:00 - 17:00,Lab Services,Branch 2,7,128
26/9/2025,Friday,09:00 - 10:00,Cardiology,Branch 2,1,63
21/9/2025,Sunday,10:00 - 11:00,Obstetrics & Gynecology,Branch 3,1,124
20/12/2025,Saturday,11:00 - 12:00,Lab Services,Branch 3,5,166
11/5/2025,Sunday,10:00 - 11:00,Cardiology,Branch 2,5,106
28/6/2025,Saturday,14:00 - 15:00,Cardiology,Branch 2,3,104
3/10/2025,Friday,13:00 - 14:00,Minor Procedures,Branch 3,12,266
30/5/2025,Friday,15:00 - 16:00,Dermatology,Branch 1,14,221
20/8/2025,Wednesday,13:00 - 14:00,Cardiology,Branch 2,11,167
8/4/2026,Wednesday,16:00 - 17:00,Lab Services,Branch 1,13,215
30/12/2025,Tuesday,15:00 - 16:00,Orthopedics,Branch 2,1,78
9/7/2025,Wednesday,08:00 - 09:00,General Consultation,Branch 2,10,160
4/10/2025,Saturday,10:00 - 11:00,Cardiology,Branch 1,6,163
27/7/2025,Sunday,16:00 - 17:00,Orthopedics,Branch 3,9,211
24/10/2025,Friday,08:00 - 09:00,General Consultation,Branch 2,4,101
3/2/2026,Tuesday,14:00 - 15:00,General Consultation,Branch 1,12,215
17/1/2026,Saturday,13:00 - 14:00,Obstetrics & Gynecology,Branch 2,1,56
24/1/2026,Saturday,09:00 - 10:00,Cardiology,Branch 3,5,184
3/10/2025,Friday,16:00 - 17:00,Cardiology,Branch 1,13,222
17/5/2025,Saturday,08:00 - 09:00,Pediatrics,Branch 1,7,147
4/5/2025,Sunday,14:00 - 15:00,Obstetrics & Gynecology,Branch 2,13,176
22/1/2026,Thursday,13:00 - 14:00,Lab Services,Branch 2,7,104
20/7/2025,Sunday,10:00 - 11:00,General Consultation,Branch 2,14,198
24/7/2025,Thursday,09:00 - 10:00,Cardiology,Branch 3,5,185
17/9/2025,Wednesday,15:00 - 16:00,Orthopedics,Branch 3,11,234
4/11/2025,Tuesday,15:00 - 16:00,Dermatology,Branch 1,0,100
11/10/2025,Saturday,08:00 - 09:00,Pediatrics,Branch 3,7,189
1/8/2025,Friday,08:00 - 09:00,Minor Procedures,Branch 2,12,195
22/11/2025,Saturday,09:00 - 10:00,Pediatrics,Branch 2,6,126
22/4/2026,Wednesday,14:00 - 15:00,Pediatrics,Branch 3,1,133
15/9/2025,Monday,10:00 - 11:00,Obstetrics & Gynecology,Branch 2,4,90
6/4/2026,Monday,11:00 - 12:00,Obstetrics & Gynecology,Branch 1,5,129
15/2/2026,Sunday,13:00 - 14:00,Orthopedics,Branch 3,0,127
2/9/2025,Tuesday,14:00 - 15:00,Pediatrics,Branch 3,2,151
21/8/2025,Thursday,10:00 - 11:00,General Consultation,Branch 2,0,54
11/4/2026,Saturday,15:00 - 16:00,Cardiology,Branch 2,1,65
13/8/2025,Wednesday,14:00 - 15:00,Lab Services,Branch 1,15,237
11/10/2025,Saturday,11:00 - 12:00,Pediatrics,Branch 1,13,208
31/10/2025,Friday,13:00 - 14:00,Lab Services,Branch 2,13,165
13/2/2026,Friday,14:00 - 15:00,Lab Services,Branch 3,14,257
19/1/2026,Monday,08:00 - 09:00,Pediatrics,Branch 2,1,81
10/9/2025,Wednesday,15:00 - 16:00,Lab Services,Branch 2,12,175
30/8/2025,Saturday,15:00 - 16:00,Minor Procedures,Branch 1,0,102
4/7/2025,Friday,14:00 - 15:00,Cardiology,Branch 2,6,132
21/4/2026,Tuesday,14:00 - 15:00,Cardiology,Branch 1,12,215
21/2/2026,Saturday,13:00 - 14:00,Minor Procedures,Branch 3,13,271
27/7/2025,Sunday,10:00 - 11:00,Pediatrics,Branch 3,1,119
15/10/2025,Wednesday,14:00 - 15:00,Cardiology,Branch 2,3,97
12/8/2025,Tuesday,08:00 - 09:00,Minor Procedures,Branch 2,11,206
29/1/2026,Thursday,16:00 - 17:00,Pediatrics,Branch 1,11,215
30/10/2025,Thursday,10:00 - 11:00,Pediatrics,Branch 2,1,65
25/7/2025,Friday,15:00 - 16:00,General Consultation,Branch 3,3,162
16/4/2026,Thursday,11:00 - 12:00,Orthopedics,Branch 3,13,247
9/8/2025,Saturday,10:00 - 11:00,Obstetrics & Gynecology,Branch 2,2,81
22/7/2025,Tuesday,11:00 - 12:00,Dermatology,Branch 2,0,48
21/5/2025,Wednesday,15:00 - 16:00,Obstetrics & Gynecology,Branch 1,6,141
1/6/2025,Sunday,16:00 - 17:00,General Consultation,Branch 2,9,155
29/7/2025,Tuesday,08:00 - 09:00,Orthopedics,Branch 2,4,95
28/3/2026,Saturday,09:00 - 10:00,General Consultation,Branch 1,5,134
8/4/2026,Wednesday,11:00 - 12:00,Cardiology,Branch 3,0,117
18/7/2025,Friday,16:00 - 17:00,Obstetrics & Gynecology,Branch 3,14,247
17/7/2025,Thursday,15:00 - 16:00,Lab Services,Branch 2,8,134
2/6/2025,Monday,11:00 - 12:00,General Consultation,Branch 2,4,112
23/4/2026,Thursday,08:00 - 09:00,Lab Services,Branch 1,12,203
28/1/2026,Wednesday,09:00 - 10:00,General Consultation,Branch 3,4,171
9/7/2025,Wednesday,08:00 - 09:00,Pediatrics,Branch 2,2,71
1/12/2025,Monday,11:00 - 12:00,General Consultation,Branch 2,4,103
10/1/2026,Saturday,11:00 - 12:00,Cardiology,Branch 1,2,99
18/10/2025,Saturday,16:00 - 17:00,General Consultation,Branch 2,15,199
24/11/2025,Monday,11:00 - 12:00,Orthopedics,Branch 3,0,133
6/8/2025,Wednesday,14:00 - 15:00,General Consultation,Branch 2,5,110
3/2/2026,Tuesday,09:00 - 10:00,Cardiology,Branch 3,2,128
3/6/2025,Tuesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 1,13,210
20/11/2025,Thursday,14:00 - 15:00,General Consultation,Branch 3,13,242
20/2/2026,Friday,14:00 - 15:00,Orthopedics,Branch 1,6,161
4/5/2025,Sunday,09:00 - 10:00,Cardiology,Branch 2,11,179
8/3/2026,Sunday,14:00 - 15:00,Lab Services,Branch 2,11,159
27/3/2026,Friday,15:00 - 16:00,Obstetrics & Gynecology,Branch 1,13,227
19/7/2025,Saturday,08:00 - 09:00,Obstetrics & Gynecology,Branch 2,11,177
9/9/2025,Tuesday,10:00 - 11:00,General Consultation,Branch 2,15,196
16/2/2026,Monday,15:00 - 16:00,Cardiology,Branch 2,15,195
7/10/2025,Tuesday,08:00 - 09:00,General Consultation,Branch 3,15,275
9/3/2026,Monday,15:00 - 16:00,Cardiology,Branch 2,13,201
13/3/2026,Friday,14:00 - 15:00,Pediatrics,Branch 1,11,191
27/11/2025,Thursday,11:00 - 12:00,Cardiology,Branch 3,1,118
27/2/2026,Friday,13:00 - 14:00,Orthopedics,Branch 3,0,124
15/5/2025,Thursday,13:00 - 14:00,Dermatology,Branch 2,13,204
28/6/2025,Saturday,10:00 - 11:00,Cardiology,Branch 3,9,221
10/2/2026,Tuesday,14:00 - 15:00,Minor Procedures,Branch 1,10,212
26/6/2025,Thursday,11:00 - 12:00,Dermatology,Branch 2,4,104
16/3/2026,Monday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,5,105
23/7/2025,Wednesday,15:00 - 16:00,General Consultation,Branch 2,4,88
14/9/2025,Sunday,15:00 - 16:00,Pediatrics,Branch 3,7,181
1/10/2025,Wednesday,13:00 - 14:00,Pediatrics,Branch 1,6,143
1/11/2025,Saturday,11:00 - 12:00,Lab Services,Branch 3,3,133
9/8/2025,Saturday,16:00 - 17:00,Obstetrics & Gynecology,Branch 1,2,115
28/8/2025,Thursday,14:00 - 15:00,Pediatrics,Branch 3,5,159
17/2/2026,Tuesday,15:00 - 16:00,General Consultation,Branch 3,2,155
13/1/2026,Tuesday,09:00 - 10:00,Dermatology,Branch 2,9,144
15/4/2026,Wednesday,08:00 - 09:00,Minor Procedures,Branch 1,10,201
23/5/2025,Friday,15:00 - 16:00,Orthopedics,Branch 3,7,204
29/1/2026,Thursday,11:00 - 12:00,Pediatrics,Branch 1,11,214
9/4/2026,Thursday,10:00 - 11:00,Orthopedics,Branch 1,1,109
20/5/2025,Tuesday,08:00 - 09:00,General Consultation,Branch 2,5,96
29/10/2025,Wednesday,16:00 - 17:00,Pediatrics,Branch 1,0,85
6/12/2025,Saturday,09:00 - 10:00,Pediatrics,Branch 1,3,124
8/2/2026,Sunday,13:00 - 14:00,Pediatrics,Branch 1,7,164
2/4/2026,Thursday,11:00 - 12:00,Orthopedics,Branch 3,15,269
5/7/2025,Saturday,14:00 - 15:00,General Consultation,Branch 1,2,115
9/7/2025,Wednesday,09:00 - 10:00,Minor Procedures,Branch 1,15,279
10/10/2025,Friday,16:00 - 17:00,Pediatrics,Branch 1,11,214
26/6/2025,Thursday,16:00 - 17:00,Cardiology,Branch 3,10,213
1/5/2025,Thursday,14:00 - 15:00,Minor Procedures,Branch 3,15,299
27/10/2025,Monday,13:00 - 14:00,Pediatrics,Branch 2,5,105
14/3/2026,Saturday,08:00 - 09:00,Minor Procedures,Branch 1,1,123
3/4/2026,Friday,10:00 - 11:00,Orthopedics,Branch 3,11,218
25/10/2025,Saturday,09:00 - 10:00,Pediatrics,Branch 1,4,123
12/3/2026,Thursday,14:00 - 15:00,Pediatrics,Branch 2,14,210
18/7/2025,Friday,13:00 - 14:00,Pediatrics,Branch 3,6,182
8/2/2026,Sunday,09:00 - 10:00,Pediatrics,Branch 1,0,105
28/4/2025,Monday,08:00 - 09:00,Obstetrics & Gynecology,Branch 2,14,211
12/10/2025,Sunday,09:00 - 10:00,Lab Services,Branch 3,1,107
24/10/2025,Friday,11:00 - 12:00,Dermatology,Branch 1,12,219
5/4/2026,Sunday,09:00 - 10:00,Obstetrics & Gynecology,Branch 2,0,46
16/7/2025,Wednesday,11:00 - 12:00,Cardiology,Branch 2,8,147
10/7/2025,Thursday,11:00 - 12:00,Lab Services,Branch 2,11,149
15/3/2026,Sunday,09:00 - 10:00,Obstetrics & Gynecology,Branch 3,0,125
22/1/2026,Thursday,15:00 - 16:00,Orthopedics,Branch 1,7,160
20/12/2025,Saturday,11:00 - 12:00,Pediatrics,Branch 1,9,194
20/8/2025,Wednesday,08:00 - 09:00,Cardiology,Branch 2,7,127
4/12/2025,Thursday,13:00 - 14:00,Minor Procedures,Branch 3,11,256
7/3/2026,Saturday,16:00 - 17:00,Minor Procedures,Branch 2,2,100
1/12/2025,Monday,10:00 - 11:00,Dermatology,Branch 1,6,145
17/5/2025,Saturday,15:00 - 16:00,General Consultation,Branch 1,7,150
7/4/2026,Tuesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,13,259
1/8/2025,Friday,15:00 - 16:00,Lab Services,Branch 3,3,132
27/8/2025,Wednesday,16:00 - 17:00,General Consultation,Branch 3,2,141
12/7/2025,Saturday,14:00 - 15:00,Pediatrics,Branch 2,10,157
11/9/2025,Thursday,10:00 - 11:00,Obstetrics & Gynecology,Branch 1,11,198
18/12/2025,Thursday,11:00 - 12:00,Dermatology,Branch 3,13,236
2/6/2025,Monday,08:00 - 09:00,General Consultation,Branch 1,1,115
5/7/2025,Saturday,16:00 - 17:00,Dermatology,Branch 1,8,177
13/1/2026,Tuesday,10:00 - 11:00,Minor Procedures,Branch 3,1,155
3/8/2025,Sunday,13:00 - 14:00,Cardiology,Branch 3,12,225
10/6/2025,Tuesday,15:00 - 16:00,Orthopedics,Branch 1,13,210
29/6/2025,Sunday,16:00 - 17:00,Orthopedics,Branch 2,12,178
15/7/2025,Tuesday,13:00 - 14:00,Obstetrics & Gynecology,Branch 1,12,202
28/10/2025,Tuesday,16:00 - 17:00,Lab Services,Branch 2,15,205
6/1/2026,Tuesday,09:00 - 10:00,Pediatrics,Branch 2,14,194
28/11/2025,Friday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,10,200
29/10/2025,Wednesday,13:00 - 14:00,Pediatrics,Branch 2,14,211
20/12/2025,Saturday,10:00 - 11:00,Orthopedics,Branch 3,9,208
17/7/2025,Thursday,15:00 - 16:00,Orthopedics,Branch 2,14,195
12/12/2025,Friday,10:00 - 11:00,Dermatology,Branch 1,10,193
17/5/2025,Saturday,13:00 - 14:00,Obstetrics & Gynecology,Branch 3,5,160
7/1/2026,Wednesday,11:00 - 12:00,General Consultation,Branch 1,1,97
4/4/2026,Saturday,09:00 - 10:00,Dermatology,Branch 3,3,145
4/10/2025,Saturday,13:00 - 14:00,Lab Services,Branch 1,4,112
30/6/2025,Monday,09:00 - 10:00,General Consultation,Branch 2,0,60
28/10/2025,Tuesday,11:00 - 12:00,Pediatrics,Branch 2,8,130
5/3/2026,Thursday,08:00 - 09:00,Orthopedics,Branch 3,0,128
11/6/2025,Wednesday,08:00 - 09:00,Cardiology,Branch 3,5,173
6/6/2025,Friday,15:00 - 16:00,Pediatrics,Branch 1,11,201
26/4/2025,Saturday,09:00 - 10:00,Cardiology,Branch 3,6,170
5/6/2025,Thursday,10:00 - 11:00,Obstetrics & Gynecology,Branch 3,7,186
4/12/2025,Thursday,11:00 - 12:00,Minor Procedures,Branch 3,5,193
15/3/2026,Sunday,15:00 - 16:00,Obstetrics & Gynecology,Branch 3,8,188
24/4/2025,Thursday,10:00 - 11:00,Orthopedics,Branch 2,0,56
24/12/2025,Wednesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 1,1,111
16/3/2026,Monday,10:00 - 11:00,Pediatrics,Branch 1,11,203
9/6/2025,Monday,11:00 - 12:00,Cardiology,Branch 3,15,274
27/2/2026,Friday,13:00 - 14:00,Pediatrics,Branch 1,7,158
16/11/2025,Sunday,09:00 - 10:00,General Consultation,Branch 1,5,147
12/12/2025,Friday,11:00 - 12:00,General Consultation,Branch 3,10,235
29/4/2025,Tuesday,14:00 - 15:00,Lab Services,Branch 3,8,186
22/3/2026,Sunday,09:00 - 10:00,Minor Procedures,Branch 2,11,185
29/11/2025,Saturday,11:00 - 12:00,Dermatology,Branch 3,5,182
3/9/2025,Wednesday,09:00 - 10:00,Orthopedics,Branch 3,5,168
4/3/2026,Wednesday,15:00 - 16:00,Dermatology,Branch 2,15,219
26/4/2025,Saturday,09:00 - 10:00,Minor Procedures,Branch 3,9,241
15/6/2025,Sunday,09:00 - 10:00,Pediatrics,Branch 1,12,205
25/6/2025,Wednesday,11:00 - 12:00,General Consultation,Branch 3,2,154
10/8/2025,Sunday,10:00 - 11:00,Lab Services,Branch 1,10,167
28/5/2025,Wednesday,15:00 - 16:00,Lab Services,Branch 2,10,136
28/10/2025,Tuesday,10:00 - 11:00,General Consultation,Branch 3,10,227
6/8/2025,Wednesday,10:00 - 11:00,Cardiology,Branch 3,1,118
12/4/2026,Sunday,16:00 - 17:00,Lab Services,Branch 1,11,175
18/4/2026,Saturday,11:00 - 12:00,Dermatology,Branch 2,0,66
18/3/2026,Wednesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,11,235
25/6/2025,Wednesday,10:00 - 11:00,Pediatrics,Branch 3,15,259
23/2/2026,Monday,08:00 - 09:00,Orthopedics,Branch 3,6,191
23/3/2026,Monday,08:00 - 09:00,Pediatrics,Branch 3,0,115
19/7/2025,Saturday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,2,71
31/7/2025,Thursday,15:00 - 16:00,Pediatrics,Branch 2,10,164
23/4/2026,Thursday,13:00 - 14:00,Minor Procedures,Branch 3,10,253
24/9/2025,Wednesday,11:00 - 12:00,Pediatrics,Branch 1,8,167
27/3/2026,Friday,15:00 - 16:00,Dermatology,Branch 3,4,157
18/3/2026,Wednesday,09:00 - 10:00,Minor Procedures,Branch 3,5,182
10/4/2026,Friday,11:00 - 12:00,Lab Services,Branch 1,13,202
26/4/2025,Saturday,13:00 - 14:00,Orthopedics,Branch 1,3,128
6/7/2025,Sunday,13:00 - 14:00,General Consultation,Branch 3,0,126
10/6/2025,Tuesday,11:00 - 12:00,General Consultation,Branch 3,12,226
31/10/2025,Friday,11:00 - 12:00,Pediatrics,Branch 1,9,166
1/3/2026,Sunday,15:00 - 16:00,Cardiology,Branch 3,8,199
13/10/2025,Monday,14:00 - 15:00,Minor Procedures,Branch 3,3,172
3/4/2026,Friday,14:00 - 15:00,Dermatology,Branch 1,2,104
20/6/2025,Friday,13:00 - 14:00,Obstetrics & Gynecology,Branch 2,4,87
13/7/2025,Sunday,11:00 - 12:00,Dermatology,Branch 3,13,260
24/5/2025,Saturday,14:00 - 15:00,Cardiology,Branch 3,4,164
11/12/2025,Thursday,08:00 - 09:00,Obstetrics & Gynecology,Branch 1,6,139
30/10/2025,Thursday,13:00 - 14:00,Dermatology,Branch 2,14,185
3/5/2025,Saturday,08:00 - 09:00,Minor Procedures,Branch 3,14,289
14/2/2026,Saturday,15:00 - 16:00,Pediatrics,Branch 3,3,148
12/2/2026,Thursday,13:00 - 14:00,Obstetrics & Gynecology,Branch 3,6,186
13/2/2026,Friday,14:00 - 15:00,Pediatrics,Branch 1,4,137
5/7/2025,Saturday,13:00 - 14:00,General Consultation,Branch 2,3,102
13/1/2026,Tuesday,14:00 - 15:00,Pediatrics,Branch 3,15,265
27/1/2026,Tuesday,13:00 - 14:00,Obstetrics & Gynecology,Branch 2,7,116
10/9/2025,Wednesday,14:00 - 15:00,Dermatology,Branch 3,6,183
11/4/2026,Saturday,09:00 - 10:00,Lab Services,Branch 3,14,239
14/1/2026,Wednesday,16:00 - 17:00,Minor Procedures,Branch 3,11,263
25/5/2025,Sunday,09:00 - 10:00,Minor Procedures,Branch 2,8,161
6/12/2025,Saturday,13:00 - 14:00,Orthopedics,Branch 1,10,182
